id_orden_municip,id_nodo_prbd,nomenclatura_redgto,nombre_nodo,tipo_nodo,ip_nodo,rango_nodo,clave,fecha_operacion_nodo,id_comunidad,comunidad,id_comunidad_inegi,id_municipio,municipio,longitud,latitud,clave_nodo,direccion,codigo_postal
275,131,REDGTO-JVR-MO-00131,Escuela Primaria Mtro. Justo Sierra,Escolar,10.0.205.32,192.205.32,NE-JVR-110350059-02,2017,9289,San Diego de los Dolores,110350059,1035,Santa Cruz de Juventino Rosas,20.7262650,-101.0284958,11ETV0610B,"Calle S/Nom, San Diego De Los Dolores, 38256, GUA, México",38256
159,132,REDGTO-PNV-MO-00132,Escuela Primaria Juan Enríquez Pestalozzi,Escolar,10.0.201.4,192.201.4,NE-PNV-110240006-01,2017,6291,Durazno de Fonseca,110240006,1024,Pueblo Nuevo,20.5529194,-101.3123093,11DPR1946W,"Calle Faja de Oro, Durazno De Fonseca (El Durazono), 36896, GUA, México",36896
305,133,REDGTO-VDS-MO-00133,Escuela Primaria Guadalupe Victoria,Escolar,10.0.204.2,192.204.2,NE-VDS-110420208-01,2017,10415,Rancho Cuatro de Altamira,110420208,1042,Valle de Santiago,20.4780293,-101.1811523,11DPR2279A,"Calle S/Nom, 36886 Valle de Santiago, GUA, México",36886
306,134,REDGTO-VDS-MO-00134,Escuela Primaria General Emiliano Zapata,Escolar,10.0.204.4,192.204.4,NE-VDS-110420003-01,2017,10249,Alto de Altamira,110420003,1042,Valle de Santiago,20.4703407,-101.1631165,11DPR2381O,"Calle 20 de Noviembre, 36886 Valle de Santiago, GUA, México",36886
193,135,REDGTO-SAL-MO-00135,Telesecundaria No. 653,Escolar,10.0.200.22,192.200.22,NE-SAL-110270087-01,2017,6833,Loma Pelada,110270087,1027,Salamanca,20.5714378,-101.2979660,11ETV0672O,"Calle Morelos 2, 36874, GUA, México",36874
194,136,REDGTO-SAL-MO-00136,Telesecundaria No. 380,Escolar,10.0.200.20,10.0.200.20,NE-SAL-110270136-01,2017,6875,San Juan de Razos,110270136,1027,Salamanca,20.5527191,-101.2315979,11ETV0393D,"Calle S/Nom, Fracc Pedregal De San Juan, 36782 Salamanca, GUA, México",36782
195,137,REDGTO-SAL-MO-00137,Escuela Primaria Miguel Hidalgo (La Capilla),Escolar,10.0.200.14,192.168.52,NE-SAL-110270042-01,2017,6797,La Capilla,110270042,1027,Salamanca,20.5588799,-101.3003311,11DPR0651D,"Calle Revolución, 36874, GUA, México",36874
327,138,REDGTO-YUR-MO-00138,Parador Gastronómico,Publico,10.0.76.10,10.0.77,NP-YUR-110460001-02,2018,10970,Yuriria,110460001,1046,Yuriria,20.2206100,-101.1377900,2,"Calle Santa María, De Santa Maria, 38947 Yuriria, GUA, México",38947
230,139,REDGTO-SMA-MO-00139,Escuela Primaria Miguel Hidalgo (CPA),Escolar,10.0.203.6,192.203.6,NE-SMA-110030075-01,2017,690,Corral de Piedras de Abajo,110030075,1003,San Miguel de Allende,20.8428200,-100.8223300,11DPR0624G,"Carretera Guanajuato-San Miguel de Allende, Progreso De Begoña, 37898, GUA, México",37898
276,140,REDGTO-JVR-MO-00140,Romero,Publico,10.0.64.26,192.64.25,NP-JVR-110350054-01,2018,9284,Romero,110350054,1035,Santa Cruz de Juventino Rosas,20.7520008,-100.9869995,2,"Calle S/Nom, 38225, GUA, México",38225
277,141,REDGTO-JVR-MO-00141,Mesas de Acosta,Publico,10.0.64.82,192.64.27,NP-JVR-110350033-01,2018,9267,Mesas de Acosta,110350033,1035,Santa Cruz de Juventino Rosas,20.7474804,-101.0765228,2,"Calle S/Nom, Mesas De Acosta, 38257, GUA, México",38257
278,142,REDGTO-JVR-MO-00142,San Antonio de las Maravillas,Publico,10.0.64.22,192.64.21,NP-JVR-110350097-01,2018,9317,San Antonio de las Maravillas,110350097,1035,Santa Cruz de Juventino Rosas,20.5828705,-100.8946915,2,"Calle Veracruz, San Antonio De Maravillas, 38255, GUA, México",38255
279,143,REDGTO-JVR-MO-00143,La Peña,Publico,10.0.64.24,192.64.24,NP-JVR-110350043-01,2018,9275,La Peña (Peña Colorada),110350043,1035,Santa Cruz de Juventino Rosas,20.6755009,-100.9453430,2,"Calle S/Nom, 38250, GUA, México",38250
280,144,REDGTO-JVR-MO-00144,Cerrito de Gasca,Publico,10.0.64.30,192.64.29,NP-JVR-110350009-01,2018,9250,Cerrito de Gasca,110350009,1035,Santa Cruz de Juventino Rosas,20.6171703,-101.0611572,2,"Calle S/Nom, Cerrito De Gasca, 38254, GUA, México",38254
231,158,REDGTO-SMA-MO-00158,Nuevo Cimatario,Publico,10.0.77.28,192.77.27,NP-SMA-110030397-01,2018,877,El Embargo (El Nuevo Cimatario),110030397,1003,San Miguel de Allende,20.8318789,-101.0227700,2,"Calle S/Nom, 37896, GUA, México",37896
232,159,REDGTO-SMA-MO-00159,San Isidro de Ensaye,Publico,192.77.29.3,192.77.29,NP-SMA-110030520-01,2018,919,San Isidro de Ensaye (La Cuevita),110030520,1003,San Miguel de Allende,20.8384495,-101.0377197,2,"Calle S/Nom, 37896, GUA, México",37896
233,160,REDGTO-SMA-MO-00160,San José de Allende,Publico,10.0.77.32,192.77.31,NP-SMA-110030376-01,2018,870,San José de Allende,110030376,1003,San Miguel de Allende,20.8565102,-101.0334396,2,"Carretera a Guanajuato-Juventino Rosas, San Jose De Los Allende, 37896, GUA, México",37896
